Ticker,Trend,RSI,MACD,Volatility_%,Sharpe
CB,Bearish,63.98,Bullish,27.83,0.51
V,Bearish,56.81,Bullish,27.31,0.51
ICE,Bullish,30.56,Bearish,24.38,0.51
ERIE,Bearish,52.96,Bullish,32.73,0.51
AME,Bullish,39.06,Bearish,27.29,0.51
GDDY,Bearish,29.64,Bearish,35.98,0.5
VRTX,Bearish,67.67,Bullish,32.26,0.5
ADI,Bullish,37.85,Bearish,36.41,0.5
XYL,Bullish,58.26,Bearish,30.47,0.5
ON,Bullish,49.19,Bearish,57.64,0.5
MA,Bullish,38.71,Bearish,30.07,0.5
DGX,Bullish,42.75,Bearish,26.19,0.49
TER,Bullish,54.33,Bearish,47.46,0.49
SCHW,Bullish,49.12,Bearish,37.38,0.49
NTAP,Bullish,42.06,Bearish,36.41,0.49
COF,Bullish,26.21,Bearish,43.9,0.49
NOC,Bullish,73.03,Bullish,27.74,0.49
PCAR,Bearish,37.54,Bearish,28.04,0.49
CF,Bullish,52.26,Bearish,41.34,0.48
NWSA,Bullish,17.22,Bearish,32.57,0.48
SYF,Bullish,31.5,Bearish,46.13,0.48
EXPE,Bullish,45.28,Bearish,49.63,0.48
AON,Bearish,49.76,Bullish,26.43,0.48
SHW,Bullish,32.82,Bearish,29.41,0.47
SPGI,Bullish,34.55,Bullish,28.72,0.47
SYK,Bullish,38.67,Bullish,29.71,0.47
HD,Bullish,6.46,Bearish,28.18,0.47
TRMB,Bullish,34.94,Bearish,37.55,0.47
ADP,Bearish,39.7,Bearish,26.84,0.47
PODD,Bullish,35.48,Bearish,44.03,0.46
QCOM,Bullish,41.9,Bearish,41.14,0.46
TXT,Bullish,46.69,Bearish,37.96,0.46
WTW,Bullish,44.13,Bearish,26.72,0.46
WST,Bullish,61.49,Bearish,39.75,0.45
RMD,Bullish,47.02,Bullish,35.15,0.45
COIN,Bullish,62.65,Bullish,87.08,0.45
BKR,Bullish,31.25,Bearish,43.63,0.45
ATO,Bullish,76.46,Bullish,24.59,0.45
VRSK,Bearish,49.84,Bullish,26.05,0.44
MRNA,Bearish,56.71,Bullish,73.81,0.44
MAR,Bullish,52.6,Bearish,38.47,0.44
ETR,Bullish,67.92,Bullish,28.33,0.44
GNRC,Bullish,60.54,Bullish,51.88,0.44
TYL,Bearish,42.84,Bullish,31.32,0.44
AIZ,Bullish,62.93,Bearish,30.58,0.44
NXPI,Bullish,42.61,Bearish,44.38,0.43
VLO,Bullish,35.49,Bearish,47.49,0.43
TMO,Bullish,70.89,Bullish,29.06,0.43
FANG,Bearish,49.76,Bearish,57.01,0.43
SO,Bullish,72.44,Bullish,25.63,0.43
NI,Bullish,59.25,Bullish,26.41,0.43
EMR,Bullish,43.81,Bearish,32.54,0.43
A,Bullish,68.28,Bullish,30.25,0.43
ROK,Bullish,46.77,Bearish,34.91,0.43
RTX,Bullish,46.49,Bearish,32.28,0.43
CHRW,Bullish,23.79,Bearish,30.24,0.42
TDY,Bullish,50.24,Bearish,30.64,0.42
ADSK,Bullish,33.31,Bearish,38.07,0.42
DASH,Bullish,55.74,Bearish,57.95,0.42
MCD,Bullish,43.12,Bearish,22.9,0.42
DVA,Bearish,29.08,Bearish,35.82,0.42
DRI,Bearish,46.85,Bearish,42.8,0.41
MTD,Bullish,54.96,Bullish,33.22,0.41
ABT,Bullish,31.32,Bearish,25.75,0.41
STE,Bullish,29.36,Bearish,28.28,0.41
KEYS,Bullish,31.08,Bearish,33.0,0.4
MET,Bearish,51.86,Bearish,34.34,0.4
FOXA,Bullish,34.78,Bearish,33.28,0.4
IT,Bearish,37.94,Bearish,35.55,0.4
EFX,Bearish,21.33,Bearish,34.62,0.4
XOM,Bullish,44.12,Bearish,33.37,0.4
AIG,Bearish,70.65,Bullish,38.31,0.4
PAYX,Bearish,44.77,Bullish,28.89,0.39
HPE,Bullish,52.53,Bearish,39.47,0.39
DHR,Bearish,62.54,Bullish,29.06,0.38
MOS,Bullish,38.31,Bearish,50.18,0.38
REGN,Bearish,47.51,Bearish,32.54,0.38
GM,Bullish,36.98,Bearish,42.25,0.38
EXPD,Bullish,28.62,Bearish,26.55,0.38
EXC,Bullish,81.24,Bullish,27.86,0.37
LHX,Bullish,55.62,Bearish,27.24,0.37
PCG,Bearish,67.36,Bullish,40.47,0.37
CNP,Bullish,55.42,Bullish,30.82,0.37
CINF,Bullish,58.74,Bearish,34.46,0.37
NSC,Bullish,46.96,Bearish,30.42,0.37
CRM,Bearish,54.01,Bullish,39.03,0.37
DVN,Bullish,42.8,Bearish,56.52,0.37
CSX,Bullish,63.9,Bullish,28.76,0.37
WFC,Bullish,27.25,Bearish,38.06,0.37
FDX,Bearish,45.6,Bearish,37.01,0.37
ALB,Bullish,67.14,Bullish,54.78,0.36
RF,Bullish,19.37,Bearish,41.67,0.36
XYZ,Bullish,47.24,Bullish,63.4,0.36
DUK,Bullish,61.54,Bullish,23.86,0.36
CI,Bearish,55.35,Bullish,33.18,0.36
MOH,Bearish,65.26,Bullish,39.59,0.36
PSA,Bearish,78.1,Bullish,26.25,0.36
PEG,Bullish,48.64,Bullish,25.28,0.36
ROP,Bearish,57.38,Bullish,25.03,0.36
GEHC,Bearish,41.54,Bearish,32.4,0.36
DLR,Bullish,45.04,Bearish,31.9,0.36
STT,Bullish,53.15,Bearish,37.41,0.35
WDAY,Bearish,46.08,Bearish,40.07,0.35
BG,Bullish,61.69,Bearish,33.13,0.35
ECL,Bullish,56.25,Bullish,29.72,0.35
FOX,Bullish,33.77,Bearish,32.38,0.35
WAT,Bearish,71.95,Bullish,33.64,0.35
AOS,Bullish,26.84,Bearish,29.54,0.35
NDSN,Bullish,60.61,Bullish,31.09,0.35
PFG,Bullish,38.54,Bearish,37.11,0.35
CSCO,Bullish,49.64,Bullish,26.92,0.35
NEE,Bullish,87.9,Bullish,30.36,0.35
GL,Bullish,21.88,Bearish,39.85,0.35
UHS,Bullish,54.26,Bearish,39.42,0.34
UAL,Bullish,40.99,Bearish,61.51,0.34
APA,Bullish,42.09,Bearish,68.25,0.34
EQIX,Bearish,51.83,Bullish,30.52,0.34
EXR,Bearish,71.07,Bullish,30.88,0.34
FITB,Bullish,25.8,Bearish,42.65,0.34
DPZ,Bearish,37.69,Bearish,32.29,0.34
YUM,Bullish,27.72,Bearish,25.85,0.34
AEE,Bullish,64.59,Bullish,25.34,0.34
COP,Bearish,39.41,Bearish,43.07,0.34
ALLE,Bullish,41.89,Bearish,30.32,0.34
DOV,Bearish,22.32,Bearish,29.24,0.34
MAS,Bullish,22.28,Bearish,31.46,0.33
EOG,Bearish,31.4,Bearish,45.11,0.33
CME,Bullish,65.67,Bullish,27.05,0.33
ITW,Bullish,17.14,Bearish,25.85,0.33
BAC,Bullish,24.06,Bearish,34.84,0.33
POOL,Bearish,24.52,Bearish,36.2,0.33
IVZ,Bullish,59.26,Bearish,45.89,0.33
JNJ,Bullish,92.39,Bullish,19.84,0.33
CTRA,Bearish,46.75,Bearish,38.63,0.32
HPQ,Bearish,41.57,Bearish,38.5,0.32
TXN,Bullish,41.52,Bearish,33.13,0.32
HSY,Bullish,48.18,Bearish,24.89,0.32
VRSN,Bullish,12.28,Bearish,27.61,0.32
K,Bearish,96.8,Bullish,22.15,0.32
ROST,Bullish,66.08,Bearish,36.53,0.32
ADM,Bullish,55.31,Bullish,30.32,0.32
OXY,Bullish,32.26,Bearish,60.24,0.32
MO,Bullish,49.9,Bearish,24.25,0.32
CFG,Bullish,34.11,Bearish,45.01,0.31
DXCM,Bearish,37.44,Bullish,48.62,0.31
IQV,Bullish,65.0,Bullish,35.3,0.31
SPG,Bullish,34.77,Bearish,46.05,0.31
XEL,Bullish,75.29,Bullish,25.13,0.3
KMI,Bearish,47.5,Bearish,31.59,0.3
MCHP,Bullish,49.0,Bearish,47.26,0.3
F,Bullish,46.71,Bearish,43.16,0.3
PLD,Bullish,43.58,Bearish,31.31,0.29
CVX,Bullish,36.11,Bearish,34.51,0.29
LNT,Bullish,69.9,Bullish,24.35,0.29
LMT,Bullish,67.8,Bearish,26.37,0.29
HOLX,Bullish,44.23,Bullish,29.85,0.29
WEC,Bullish,62.32,Bullish,25.22,0.29
VTR,Bullish,40.21,Bearish,42.21,0.29
DTE,Bullish,57.4,Bullish,26.35,0.29
CHD,Bearish,48.35,Bullish,22.74,0.28
AEP,Bullish,81.87,Bullish,24.19,0.28
UNH,Bearish,58.74,Bearish,33.7,0.28
GPC,Bullish,32.77,Bearish,32.11,0.28
VICI,Bullish,33.28,Bearish,33.08,0.28
EG,Bearish,59.82,Bearish,31.22,0.28
C,Bullish,30.78,Bearish,38.52,0.27
PSX,Bullish,44.48,Bearish,42.15,0.27
SRE,Bullish,66.41,Bullish,28.75,0.27
AVY,Bearish,34.04,Bearish,30.34,0.27
UNP,Bearish,47.27,Bearish,27.07,0.27
CSGP,Bullish,17.41,Bearish,35.16,0.27
KO,Bearish,50.15,Bullish,20.44,0.27
CRL,Bullish,66.83,Bullish,42.83,0.26
SW,Bearish,39.8,Bearish,47.61,0.26
EVRG,Bullish,79.36,Bullish,27.08,0.26
NTRS,Bullish,43.33,Bearish,34.87,0.26
DD,Bullish,46.01,Bearish,34.44,0.26
AMGN,Bearish,56.05,Bullish,26.45,0.26
MGM,Bullish,31.22,Bearish,53.99,0.25
CMS,Bullish,70.26,Bullish,23.84,0.25
JBHT,Bearish,59.49,Bullish,32.22,0.25
REG,Bearish,49.24,Bearish,36.08,0.25
PNC,Bullish,17.42,Bearish,34.94,0.25
IPG,Bullish,50.66,Bearish,35.83,0.25
ELV,Bearish,69.84,Bullish,33.88,0.25
HAL,Bearish,31.77,Bearish,54.07,0.25
PG,Bearish,30.36,Bearish,20.78,0.25
DAL,Bullish,48.7,Bullish,49.58,0.24
ZBRA,Bearish,32.33,Bearish,41.11,0.24
ACN,Bearish,57.89,Bullish,29.38,0.23
AWK,Bullish,54.59,Bullish,27.47,0.23
HII,Bullish,59.33,Bullish,32.75,0.23
KIM,Bullish,32.79,Bearish,40.27,0.23
HBAN,Bullish,23.86,Bearish,40.13,0.23
TECH,Bearish,64.11,Bullish,37.8,0.22
OKE,Bearish,30.09,Bearish,47.18,0.22
MTB,Bullish,15.15,Bearish,39.33,0.22
PRU,Bearish,43.19,Bearish,36.84,0.22
DAY,Bullish,32.87,Bearish,46.58,0.22
APD,Bearish,29.38,Bearish,29.71,0.22
GEN,Bullish,19.38,Bearish,35.88,0.21
CL,Bearish,34.7,Bearish,20.8,0.21
ED,Bearish,59.95,Bullish,24.34,0.21
CCL,Bullish,28.96,Bearish,71.26,0.21
HON,Bearish,32.64,Bearish,26.9,0.21
ADBE,Bearish,32.12,Bearish,37.96,0.2
MDLZ,Bearish,38.27,Bearish,22.17,0.2
IP,Bearish,43.03,Bullish,34.65,0.2
FI,Bearish,31.14,Bearish,32.01,0.2
DLTR,Bullish,46.69,Bullish,40.44,0.2
CTSH,Bearish,43.07,Bullish,30.92,0.2
MHK,Bullish,29.84,Bearish,47.09,0.19
CVS,Bullish,61.63,Bearish,30.95,0.19
KEY,Bullish,28.86,Bearish,47.72,0.19
FDS,Bearish,46.12,Bullish,28.73,0.18
ZTS,Bearish,48.39,Bearish,28.69,0.18
WYNN,Bullish,33.1,Bearish,52.47,0.18
CDW,Bearish,28.46,Bearish,32.81,0.18
APTV,Bullish,34.75,Bearish,46.65,0.18
PEP,Bullish,62.97,Bullish,22.38,0.18
CPAY,Bearish,32.34,Bearish,35.64,0.17
NCLH,Bullish,21.33,Bearish,75.8,0.17
PPL,Bullish,63.09,Bullish,26.13,0.17
PNW,Bearish,70.61,Bullish,26.63,0.16
MAA,Bearish,22.95,Bearish,27.97,0.16
EPAM,Bearish,39.77,Bearish,53.61,0.16
SLB,Bearish,35.14,Bearish,47.73,0.16
JKHY,Bearish,56.99,Bullish,26.8,0.16
MMM,Bullish,39.16,Bearish,29.8,0.15
FTV,Bearish,51.4,Bearish,29.53,0.15
ABNB,Bearish,33.57,Bearish,47.71,0.15
BBY,Bearish,59.23,Bearish,40.2,0.15
PAYC,Bearish,28.94,Bearish,48.82,0.15
INCY,Bullish,50.51,Bearish,31.9,0.15
HST,Bullish,27.44,Bearish,40.51,0.15
EW,Bullish,41.0,Bearish,34.97,0.15
SYY,Bullish,28.18,Bearish,35.9,0.14
OMC,Bearish,51.2,Bearish,32.19,0.14
FE,Bullish,87.16,Bullish,28.69,0.14
BEN,Bullish,39.56,Bearish,37.6,0.14
RVTY,Bearish,60.89,Bullish,34.05,0.13
INVH,Bearish,28.59,Bearish,29.32,0.13
SJM,Bullish,32.08,Bearish,25.55,0.12
CPT,Bearish,18.23,Bearish,28.48,0.12
MRK,Bearish,62.94,Bullish,24.67,0.11
HSIC,Bearish,20.09,Bearish,29.68,0.11
SBUX,Bearish,33.78,Bearish,34.19,0.11
WBD,Bullish,31.86,Bearish,56.14,0.1
BA,Bullish,49.17,Bullish,49.59,0.1
WY,Bearish,43.66,Bearish,37.83,0.1
LKQ,Bearish,36.35,Bearish,38.2,0.1
LW,Bullish,83.03,Bullish,40.69,0.09
IEX,Bearish,55.01,Bullish,26.91,0.09
TFC,Bullish,25.25,Bearish,40.58,0.09
LULU,Bearish,46.24,Bullish,43.01,0.09
AVB,Bearish,23.23,Bearish,29.19,0.08
TROW,Bullish,51.82,Bullish,34.4,0.08
AES,Bullish,60.1,Bullish,42.41,0.08
TAP,Bearish,62.89,Bullish,30.69,0.07
AKAM,Bearish,44.02,Bearish,31.74,0.07
COO,Bearish,57.16,Bullish,30.88,0.07
ESS,Bearish,31.44,Bearish,30.48,0.07
USB,Bullish,25.55,Bearish,36.87,0.07
HUM,Bullish,56.03,Bullish,37.56,0.06
LVS,Bullish,32.67,Bearish,44.48,0.06
KDP,Bearish,50.36,Bullish,24.16,0.06
INTC,Bullish,74.2,Bullish,47.36,0.06
EMN,Bearish,36.78,Bearish,35.69,0.05
GIS,Bearish,36.63,Bearish,22.67,0.05
O,Bullish,42.75,Bearish,29.93,0.05
FRT,Bearish,35.75,Bearish,35.92,0.05
ES,Bullish,58.36,Bullish,28.49,0.04
T,Bullish,13.8,Bearish,26.38,0.04
PSKY,Bullish,23.29,Bearish,60.05,0.04
PYPL,Bearish,53.78,Bullish,44.16,0.04
ALGN,Bearish,49.28,Bullish,54.62,0.03
SBAC,Bearish,21.41,Bullish,30.82,0.02
AMT,Bearish,24.7,Bearish,30.04,0.02
SWKS,Bullish,30.91,Bearish,43.35,0.01
TGT,Bearish,51.06,Bullish,35.83,0.01
UDR,Bearish,33.96,Bearish,29.99,0.01
HAS,Bullish,41.24,Bearish,37.16,0.01
MDT,Bullish,52.07,Bearish,26.13,0.01
DIS,Bullish,41.81,Bearish,33.57,0.01
BALL,Bearish,39.6,Bearish,32.07,-0.0
KMB,Bearish,32.52,Bearish,21.33,-0.0
EQR,Bearish,26.16,Bearish,29.7,0.0
KHC,Bearish,31.86,Bearish,27.25,-0.01
LUV,Bullish,37.05,Bearish,41.98,-0.01
PPG,Bearish,19.18,Bearish,30.47,-0.01
NKE,Bullish,41.19,Bearish,36.02,-0.02
CNC,Bearish,65.19,Bearish,40.23,-0.02
CLX,Bearish,49.56,Bearish,26.61,-0.02
AMCR,Bearish,46.0,Bullish,29.25,-0.02
MKC,Bearish,55.43,Bullish,26.16,-0.03
STZ,Bearish,68.24,Bullish,28.7,-0.03
DG,Bullish,45.66,Bullish,34.2,-0.04
EIX,Bearish,41.37,Bearish,29.82,-0.04
UPS,Bearish,44.6,Bullish,30.75,-0.04
D,Bullish,51.18,Bullish,27.79,-0.04
KMX,Bearish,12.94,Bearish,45.07,-0.05
BIIB,Bullish,57.55,Bearish,45.2,-0.06
ZBH,Bullish,31.97,Bearish,30.91,-0.08
SOLV,Bullish,39.33,Bearish,32.95,-0.08
CCI,Bearish,56.27,Bullish,29.43,-0.08
BXP,Bullish,25.56,Bearish,38.62,-0.1
LYB,Bearish,33.73,Bearish,40.37,-0.1
MTCH,Bullish,18.35,Bearish,47.83,-0.11
BDX,Bearish,50.31,Bearish,25.61,-0.11
CHTR,Bearish,45.75,Bearish,35.85,-0.12
EL,Bullish,57.18,Bullish,41.25,-0.12
CMCSA,Bearish,24.49,Bearish,28.44,-0.12
PFE,Bullish,54.28,Bearish,27.6,-0.12
BMY,Bearish,43.04,Bearish,24.46,-0.14
GPN,Bearish,45.97,Bearish,39.19,-0.15
TSN,Bearish,36.27,Bearish,30.2,-0.16
DOC,Bearish,32.3,Bearish,33.46,-0.16
VTRS,Bullish,58.21,Bullish,36.17,-0.17
FIS,Bearish,72.26,Bullish,35.29,-0.18
SWK,Bullish,17.96,Bearish,42.15,-0.18
CPB,Bearish,25.1,Bearish,25.17,-0.21
DOW,Bearish,39.13,Bearish,38.32,-0.22
VZ,Bullish,21.88,Bearish,21.72,-0.23
IFF,Bearish,36.9,Bullish,33.12,-0.23
ARE,Bearish,6.77,Bearish,31.5,-0.27
CAG,Bearish,50.06,Bearish,24.72,-0.31
HRL,Bearish,31.29,Bullish,24.54,-0.32
BAX,Bearish,42.47,Bearish,31.82,-0.58
KVUE,Bearish,37.72,Bullish,27.66,-0.62
